GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2021
" ""00000""",United States, ,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,19609812000
" ""00000""",United States, ,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,120.646
" ""00000""",United States, ,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,23315081000
" ""01000""",Alabama,5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,209979322
" ""01000""",Alabama,5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,110.956
" ""01000""",Alabama,5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,254109734
" ""01001""","Autauga, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1502153
" ""01001""","Autauga, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,94.638
" ""01001""","Autauga, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1862747
" ""01003""","Baldwin, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,7830237
" ""01003""","Baldwin, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,144.294
" ""01003""","Baldwin, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,9891548
" ""01005""","Barbour, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,709459
" ""01005""","Barbour, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,99.393
" ""01005""","Barbour, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,860027
" ""01007""","Bibb, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,392249
" ""01007""","Bibb, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,107.878
" ""01007""","Bibb, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,511240
" ""01009""","Blount, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,997835
" ""01009""","Blount, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,113.455
" ""01009""","Blount, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1211710
" ""01011""","Bullock, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,236820
" ""01011""","Bullock, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,96.313
" ""01011""","Bullock, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,289132
" ""01013""","Butler, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,652486
" ""01013""","Butler, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,117.79
" ""01013""","Butler, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,809234
" ""01015""","Calhoun, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4245199
" ""01015""","Calhoun, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,102.155
" ""01015""","Calhoun, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5108424
" ""01017""","Chambers, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,844188
" ""01017""","Chambers, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,114.111
" ""01017""","Chambers, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1003863
" ""01019""","Cherokee, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,533432
" ""01019""","Cherokee, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,108.486
" ""01019""","Cherokee, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,647497
" ""01021""","Chilton, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1001475
" ""01021""","Chilton, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,120.088
" ""01021""","Chilton, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1277386
" ""01023""","Choctaw, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,501532
" ""01023""","Choctaw, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,90.834
" ""01023""","Choctaw, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,586394
" ""01025""","Clarke, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,761922
" ""01025""","Clarke, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,98.282
" ""01025""","Clarke, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,998805
" ""01027""","Clay, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,434129
" ""01027""","Clay, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,154.711
" ""01027""","Clay, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,509530
" ""01029""","Cleburne, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,298888
" ""01029""","Cleburne, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,110.652
" ""01029""","Cleburne, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,356069
" ""01031""","Coffee, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1403123
" ""01031""","Coffee, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,117.489
" ""01031""","Coffee, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1681588
" ""01033""","Colbert, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2444622
" ""01033""","Colbert, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,102.411
" ""01033""","Colbert, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2914003
" ""01035""","Conecuh, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,457634
" ""01035""","Conecuh, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,91.482
" ""01035""","Conecuh, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,456406
" ""01037""","Coosa, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,175564
" ""01037""","Coosa, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,106.827
" ""01037""","Coosa, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,215536
" ""01039""","Covington, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1151784
" ""01039""","Covington, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.249
" ""01039""","Covington, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1427931
" ""01041""","Crenshaw, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,441247
" ""01041""","Crenshaw, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,106.599
" ""01041""","Crenshaw, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,486101
" ""01043""","Cullman, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2912833
" ""01043""","Cullman, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,125.825
" ""01043""","Cullman, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3508691
" ""01045""","Dale, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2632339
" ""01045""","Dale, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,95.131
" ""01045""","Dale, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3147114
" ""01047""","Dallas, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1061713
" ""01047""","Dallas, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,87.523
" ""01047""","Dallas, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1285684
" ""01049""","DeKalb, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1973395
" ""01049""","DeKalb, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,124.022
" ""01049""","DeKalb, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2292052
" ""01051""","Elmore, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1787108
" ""01051""","Elmore, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,104.295
" ""01051""","Elmore, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2213256
" ""01053""","Escambia, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1176856
" ""01053""","Escambia, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,97.629
" ""01053""","Escambia, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1370932
" ""01055""","Etowah, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2596715
" ""01055""","Etowah, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,95.532
" ""01055""","Etowah, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3175372
" ""01057""","Fayette, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,324913
" ""01057""","Fayette, AL",5,CAGDP1,2,...,Chain-type quantity indexes for real GDP ,Quantity index,71.239
" ""01057""","Fayette, AL",5,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,398732
" ""01059""","Franklin, AL",5,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,955433
