,County,State,Population,State and County
0,Autauga,AL,"59,203",AL Autauga
1,Baldwin,AL,"239,439",AL Baldwin
2,Barbour,AL,"24,533",AL Barbour
3,Bibb,AL,"22,359",AL Bibb
4,Blount,AL,"59,079",AL Blount
5,Bullock,AL,"10,143",AL Bullock
6,Butler,AL,"18,890",AL Butler
7,Calhoun,AL,"115,678",AL Calhoun
8,Chambers,AL,"34,488",AL Chambers
9,Cherokee,AL,"25,074",AL Cherokee
10,Chilton,AL,"45,259",AL Chilton
11,Choctaw,AL,"12,548",AL Choctaw
12,Clarke,AL,"22,740",AL Clarke
13,Clay,AL,"14,170",AL Clay
14,Cleburne,AL,"15,156",AL Cleburne
15,Coffee,AL,"54,199",AL Coffee
16,Colbert,AL,"57,644",AL Colbert
17,Conecuh,AL,"11,320",AL Conecuh
18,Coosa,AL,"10,314",AL Coosa
19,Covington,AL,"37,570",AL Covington
20,Crenshaw,AL,"13,069",AL Crenshaw
21,Cullman,AL,"89,639",AL Cullman
22,Dale,AL,"49,395",AL Dale
23,Dallas,AL,"37,515",AL Dallas
24,DeKalb,AL,"71,912",AL DeKalb
25,Elmore,AL,"88,789",AL Elmore
26,Escambia,AL,"36,660",AL Escambia
27,Etowah,AL,"103,010",AL Etowah
28,Fayette,AL,"16,127",AL Fayette
29,Franklin,AL,"31,998",AL Franklin
30,Geneva,AL,"26,620",AL Geneva
31,Greene,AL,"7,614",AL Greene
32,Hale,AL,"14,726",AL Hale
33,Henry,AL,"17,433",AL Henry
34,Houston,AL,"107,470",AL Houston
35,Jackson,AL,"52,719",AL Jackson
36,Jefferson,AL,"669,990",AL Jefferson
37,Lamar,AL,"13,736",AL Lamar
38,Lauderdale,AL,"94,853",AL Lauderdale
39,Lawrence,AL,"33,073",AL Lawrence
40,Lee,AL,"177,596",AL Lee
41,Limestone,AL,"107,303",AL Limestone
42,Lowndes,AL,"9,945",AL Lowndes
43,Macon,AL,"18,905",AL Macon
44,Madison,AL,"396,671",AL Madison
45,Marengo,AL,"18,985",AL Marengo
46,Marion,AL,"29,001",AL Marion
47,Marshall,AL,"98,286",AL Marshall
48,Mobile,AL,"413,383",AL Mobile
49,Monroe,AL,"19,550",AL Monroe
50,Montgomery,AL,"226,935",AL Montgomery
51,Morgan,AL,"123,375",AL Morgan
52,Perry,AL,"8,328",AL Perry
53,Pickens,AL,"18,618",AL Pickens
54,Pike,AL,"32,746",AL Pike
55,Randolph,AL,"22,184",AL Randolph
56,Russell,AL,"58,681",AL Russell
57,St Clair,AL,"92,874",AL St Clair
58,Shelby,AL,"227,453",AL Shelby
59,Sumter,AL,"11,967",AL Sumter
60,Talladega,AL,"80,734",AL Talladega
61,Tallapoosa,AL,"41,099",AL Tallapoosa
62,Tuscaloosa,AL,"235,670",AL Tuscaloosa
63,Walker,AL,"64,636",AL Walker
64,Washington,AL,"15,223",AL Washington
65,Wilcox,AL,"10,423",AL Wilcox
66,Winston,AL,"23,655",AL Winston
67,Aleutians East,AK,"3,417",AK Aleutians East
68,Aleutians West,AK,"5,147",AK Aleutians West
69,Anchorage,AK,"289,169",AK Anchorage
70,Bethel,AK,"18,594",AK Bethel
71,Bristol Bay,AK,842,AK Bristol Bay
72,Valdez-Cordova,AK,"9,592",AK Valdez-Cordova
73,Denali,AK,"1,595",AK Denali
74,Dillingham,AK,"4,796",AK Dillingham
75,Fairbanks North Star,AK,"95,593",AK Fairbanks North Star
76,Haines,AK,"2,074",AK Haines
77,Hoonah-Angoon,AK,"2,330",AK Hoonah-Angoon
78,Juneau,AK,"31,979",AK Juneau
79,Kenai Peninsula,AK,"59,946",AK Kenai Peninsula
80,Ketchikan Gateway,AK,"13,866",AK Ketchikan Gateway
81,Kodiak Island,AK,"12,878",AK Kodiak Island
82,Kusilvak,AK,"8,377",AK Kusilvak
83,Lake and Peninsula,AK,"1,419",AK Lake and Peninsula
84,Matanuska-Susitna,AK,"110,998",AK Matanuska-Susitna
85,Nome,AK,"9,894",AK Nome
86,North Slope,AK,"11,054",AK North Slope
87,Northwest Arctic,AK,"7,635",AK Northwest Arctic
88,Petersburg,AK,"3,381",AK Petersburg
89,Prince of Wales-Hyder,AK,"5,720",AK Prince of Wales-Hyder
90,Sitka,AK,"8,383",AK Sitka
91,Skagway Municipality,AK,"1,147",AK Skagway Municipality
92,Southeast Fairbanks,AK,"7,007",AK Southeast Fairbanks
93,Wrangell City and Borough,AK,"2,102",AK Wrangell City and Borough
94,Yakutat,AK,710,AK Yakutat
95,Yukon-Koyukuk,AK,"5,278",AK Yukon-Koyukuk
96,Apache,AZ,"65,389",AZ Apache
97,Cochise,AZ,"126,119",AZ Cochise
98,Coconino,AZ,"142,897",AZ Coconino
99,Gila,AZ,"53,549",AZ Gila
100,Graham,AZ,"38,921",AZ Graham
101,Greenlee,AZ,"9,400",AZ Greenlee
102,La Paz,AZ,"16,385",AZ La Paz
103,Maricopa,AZ,"4,499,438",AZ Maricopa
104,Mohave,AZ,"217,164",AZ Mohave
105,Navajo,AZ,"107,726",AZ Navajo
106,Pima,AZ,"1,048,914",AZ Pima
107,Pinal,AZ,"448,993",AZ Pinal
108,Santa Cruz,AZ,"47,956",AZ Santa Cruz
109,Yavapai,AZ,"242,352",AZ Yavapai
110,Yuma,AZ,"207,284",AZ Yuma
111,Arkansas,AR,"16,687",AR Arkansas
112,Ashley,AR,"18,654",AR Ashley
113,Baxter,AR,"42,224",AR Baxter
114,Benton,AR,"294,297",AR Benton
115,Boone,AR,"37,894",AR Boone
116,Bradley,AR,"10,343",AR Bradley
117,Calhoun,AR,"4,728",AR Calhoun
118,Carroll,AR,"28,539",AR Carroll
119,Chicot,AR,"10,052",AR Chicot
120,Clark,AR,"21,244",AR Clark
121,Clay,AR,"14,362",AR Clay
122,Cleburne,AR,"25,028",AR Cleburne
123,Cleveland,AR,"7,486",AR Cleveland
124,Columbia,AR,"22,490",AR Columbia
125,Conway,AR,"20,902",AR Conway
126,Craighead,AR,"111,794",AR Craighead
127,Crawford,AR,"60,430",AR Crawford
128,Crittenden,AR,"47,438",AR Crittenden
129,Cross,AR,"16,672",AR Cross
130,Dallas,AR,"6,309",AR Dallas
131,Desha,AR,"11,048",AR Desha
132,Drew,AR,"17,057",AR Drew
133,Faulkner,AR,"125,608",AR Faulkner
134,Franklin,AR,"17,166",AR Franklin
135,Fulton,AR,"12,147",AR Fulton
136,Garland,AR,"100,393",AR Garland
137,Grant,AR,"18,123",AR Grant
138,Greene,AR,"46,341",AR Greene
139,Hempstead,AR,"19,667",AR Hempstead
140,Hot Spring,AR,"33,079",AR Hot Spring
141,Howard,AR,"12,695",AR Howard
142,Independence,AR,"38,100",AR Independence
143,Izard,AR,"13,921",AR Izard
144,Jackson,AR,"16,781",AR Jackson
145,Jefferson,AR,"65,637",AR Jefferson
146,Johnson,AR,"25,957",AR Johnson
147,Lafayette,AR,"6,159",AR Lafayette
148,Lawrence,AR,"16,329",AR Lawrence
149,Lee,AR,"8,560",AR Lee
150,Lincoln,AR,"13,168",AR Lincoln
151,Little River,AR,"11,973",AR Little River
152,Logan,AR,"21,229",AR Logan
153,Lonoke,AR,"74,770",AR Lonoke
154,Madison,AR,"16,944",AR Madison
155,Marion,AR,"16,984",AR Marion
156,Miller,AR,"42,494",AR Miller
157,Mississippi,AR,"39,534",AR Mississippi
158,Monroe,AR,"6,648",AR Monroe
159,Montgomery,AR,"8,635",AR Montgomery
160,Nevada,AR,"8,184",AR Nevada
161,Newton,AR,"7,167",AR Newton
162,Ouachita,AR,"22,312",AR Ouachita
163,Perry,AR,"9,995",AR Perry
164,Phillips,AR,"15,825",AR Phillips
165,Pike,AR,"10,114",AR Pike
166,Poinsett,AR,"22,691",AR Poinsett
167,Polk,AR,"19,333",AR Polk
168,Pope,AR,"63,778",AR Pope
169,Prairie,AR,"8,095",AR Prairie
170,Pulaski,AR,"398,108",AR Pulaski
171,Randolph,AR,"18,839",AR Randolph
172,St Francis,AR,"22,715",AR St Francis
173,Saline,AR,"125,382",AR Saline
174,Scott,AR,"9,795",AR Scott
175,Searcy,AR,"7,893",AR Searcy
176,Sebastian,AR,"128,342",AR Sebastian
177,Sevier,AR,"15,714",AR Sevier
178,Sharp,AR,"17,691",AR Sharp
179,Stone,AR,"12,441",AR Stone
180,Union,AR,"38,375",AR Union
181,Van Buren,AR,"15,777",AR Van Buren
182,Washington,AR,"251,767",AR Washington
183,White,AR,"77,109",AR White
184,Woodruff,AR,"6,146",AR Woodruff
185,Yell,AR,"20,135",AR Yell
186,Alameda,CA,"1,644,047",CA Alameda
187,Alpine,CA,"1,229",CA Alpine
188,Amador,CA,"41,228",CA Amador
189,Butte,CA,"206,336",CA Butte
190,Calaveras,CA,"46,249",CA Calaveras
191,Colusa,CA,"21,919",CA Colusa
192,Contra Costa,CA,"1,163,941",CA Contra Costa
193,Del Norte,CA,"27,584",CA Del Norte
