GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",14230726000,14472712000,14877312000,15449757000,15987957000,16433148000,16762445000,16781485000,16349110000,16789750000,17052410000,17442759000,17812167000,18261714000,18799622000,19141672000,19612102000,20193896000,20692087000,20234074000,21407692000,21822037000
 "00000","United States", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.561,73.795,75.858,78.777,81.521,83.791,85.470,85.567,83.362,85.609,86.948,88.939,90.822,93.115,95.857,97.601,100.000,102.967,105.507,103.171,109.156,111.268
 "00000","United States", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10581929000,10929108000,11456450000,12217196000,13039197000,13815583000,14474228000,14769862000,14478067000,15048971000,15599732000,16253970000,16880683000,17608138000,18295019000,18804913000,19612102000,20656516000,21521395000,21322950000,23594031000,25744108000
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",168448296,172430379,178039962,189913745,197246483,199923857,202025481,200967427,194192061,199454968,201372839,203675511,206962905,206070026,208950294,212862789,216615470,220808767,224944577,222081439,231892626,235807320
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.764,79.602,82.192,87.673,91.058,92.294,93.265,92.776,89.648,92.078,92.963,94.026,95.544,95.132,96.461,98.268,100.000,101.936,103.845,102.523,107.053,108.860
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",123534517,128380896,135212626,148379077,158677285,166048211,172246995,174665564,170876463,177510738,182896716,188280709,193981544,197064403,203113340,208824280,216615470,226263784,234526408,235118280,257986516,281569005
 "01001","Autauga, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1041239,1080135,1111465,1283522,1297102,1384119,1407555,1283751,1316046,1409007,1493906,1726577,1618151,1629762,1765826,1846256,1762558,1787534,1730861,1722438,1727818,1929264
 "01001","Autauga, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.075,61.282,63.060,72.822,73.592,78.529,79.859,72.835,74.667,79.941,84.758,97.959,91.807,92.466,100.185,104.749,100.000,101.417,98.202,97.724,98.029,109.458
 "01001","Autauga, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",760973,800045,834208,984461,1015320,1124089,1182234,1097703,1175769,1262883,1354851,1571793,1510473,1569120,1729098,1806246,1762558,1826642,1804013,1813553,1947622,2364891
 "01003","Baldwin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4470762,4699162,4987728,5488860,6091919,6264024,6447685,6230645,5926780,6012889,5930698,5998672,6314704,6455247,6757534,7113177,7382558,7758980,8148786,8102009,8738819,8924207
 "01003","Baldwin, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",60.558,63.652,67.561,74.349,82.518,84.849,87.337,84.397,80.281,81.447,80.334,81.255,85.535,87.439,91.534,96.351,100.000,105.099,110.379,109.745,118.371,120.882
 "01003","Baldwin, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3128482,3369358,3642003,4117129,4717641,5031537,5330102,5238424,5103539,5196713,5187704,5374384,5776842,6034727,6492574,6983037,7382558,7935575,8563693,8762106,9879022,10811119
 "01005","Barbour, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",849519,834951,858421,930345,930410,908655,878961,826389,809671,822879,773539,747338,841037,799643,781055,770750,761761,774076,762557,731636,747888,745349
 "01005","Barbour, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",111.521,109.608,112.689,122.131,122.139,119.284,115.385,108.484,106.289,108.023,101.546,98.107,110.407,104.973,102.533,101.180,100.000,101.617,100.105,96.045,98.179,97.846
 "01005","Barbour, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",642028,637765,664978,741585,748820,744004,739799,713602,721550,742089,715202,709535,812222,779299,765000,757473,761761,789103,793908,786529,862519,930064
 "01007","Bibb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",324835,329110,345033,360869,361489,359238,383059,383076,374642,405362,412477,409288,409987,406249,393928,401486,406741,397141,441359,460018,458049,448464
 "01007","Bibb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.863,80.914,84.829,88.722,88.874,88.321,94.178,94.182,92.108,99.661,101.410,100.626,100.798,99.879,96.850,98.708,100.000,97.640,108.511,113.098,112.614,110.258
