GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
" ""00000""",United States, ,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,12547501000,13299818000,13905749000,14063283000,14778160000,15467113000,15884741000,16658962000,17514402000,18343601000,19609985000,21392812000,21820248000
" ""00000""",United States, ,CAINC1,2,...,Population (persons) 1/,Number of persons,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331511512,332031554,333287557
" ""00000""",United States, ,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,40557,42649,44237,44401,46287,48060,48971,51004,53309,55547,59153,64430,65470
" ""01000""",Alabama,5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,162068839,167882194,172101458,173720680,179487109,187474744,190871820,197963769,205674190,215165840,230872566,252791890,258362172
" ""01000""",Alabama,5,CAINC1,2,...,Population (persons) 1/,Number of persons,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031362,5049846,5074296
" ""01000""",Alabama,5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33849,34887,35564,35713,36729,38197,38712,39975,41330,43004,45887,50059,50916
" ""01001""","Autauga, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1846880,1913079,1953500,1966036,2036671,2145869,2222448,2290351,2371211,2478336,2659457,2896204,2951555
" ""01001""","Autauga, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,54826,55557,55558,55594,56034,56278,56954,57371,57728,58245,58902,59210,59759
" ""01001""","Autauga, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33686,34435,35161,35364,36347,38130,39022,39922,41076,42550,45151,48914,49391
" ""01003""","Baldwin, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,6741297,7113915,7314284,7534558,7949643,8504769,9032772,9583207,10139295,10879470,11947762,13371784,13984484
" ""01003""","Baldwin, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,183200,186981,190941,196067,200759,204925,210004,215365,221132,227079,233219,239361,246435
" ""01003""","Baldwin, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,36797,38046,38307,38428,39598,41502,43012,44498,45852,47911,51230,55865,56747
" ""01005""","Barbour, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,758542,767420,758383,799040,796038,826252,813637,818509,842907,874243,926302,1001067,1002082
" ""01005""","Barbour, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,27342,27426,27320,27158,27043,26633,26217,25608,25380,25205,24960,24539,24706
" ""01005""","Barbour, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27743,27981,27759,29422,29436,31024,31035,31963,33211,34685,37111,40795,40560
" ""01007""","Bibb, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,573168,588713,610470,611305,629223,650180,647542,652789,672223,719297,775032,831602,825481
" ""01007""","Bibb, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,22861,22750,22682,22544,22586,22607,22654,22606,22383,22405,22183,22370,22005
" ""01007""","Bibb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,25072,25877,26914,27116,27859,28760,28584,28877,30033,32104,34938,37175,37513
" ""01009""","Blount, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1602342,1636989,1719937,1742644,1817414,1888684,1894626,1982125,2072951,2155516,2253760,2531922,2603321
" ""01009""","Blount, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,57403,57712,57857,58024,58048,58168,58238,58676,58765,58956,59102,59085,59512
" ""01009""","Blount, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27914,28365,29727,30033,31309,32469,32532,33781,35275,36561,38133,42852,43744
" ""01011""","Bullock, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,254748,255726,264330,261896,257463,264125,266419,267536,272084,283578,313972,338240,320278
" ""01011""","Bullock, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,10885,10724,10689,10670,10818,10584,10612,10425,10443,10455,10296,10280,10202
" ""01011""","Bullock, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,23404,23846,24729,24545,23800,24955,25105,25663,26054,27124,30495,32903,31394
" ""01013""","Butler, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,596865,599684,616873,638145,664649,691512,679319,697907,704744,719999,752367,852499,874977
" ""01013""","Butler, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,20922,20810,20568,20212,20139,19932,19760,19588,19312,19097,19031,18855,18650
" ""01013""","Butler, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,28528,28817,29992,31573,33003,34694,34378,35629,36493,37702,39534,45213,46916
" ""01015""","Calhoun, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,3667238,3738325,3766067,3712764,3800402,3936697,3970877,4049899,4154359,4287240,4601998,4979361,4924818
" ""01015""","Calhoun, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,118493,118132,117880,117465,117209,117048,116810,116796,116622,116669,116239,115677,115788
" ""01015""","Calhoun, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,30949,31645,31948,31607,32424,33633,33994,34675,35622,36747,39591,43045,42533
" ""01017""","Chambers, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,934537,976888,995604,1007148,1024557,1072744,1096109,1094417,1139957,1171074,1255880,1340950,1325192
" ""01017""","Chambers, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,34151,34243,34499,34721,34740,34953,34881,35038,35071,34914,34645,34446,34088
" ""01017""","Chambers, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27365,28528,28859,29007,29492,30691,31424,31235,32504,33542,36250,38929,38876
" ""01019""","Cherokee, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,730602,750284,775909,804442,834579,868112,862695,883238,925082,948093,998154,1116709,1135638
" ""01019""","Cherokee, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,25936,25831,25671,25602,25355,25071,24973,24899,24978,25061,24972,25026,25302
" ""01019""","Cherokee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,28169,29046,30225,31421,32916,34626,34545,35473,37036,37831,39971,44622,44883
" ""01021""","Chilton, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1202660,1258527,1283482,1294972,1326284,1394155,1419611,1478835,1536627,1624795,1735895,1901425,1937737
" ""01021""","Chilton, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,43661,43762,43715,43823,44021,44026,44251,44546,44608,44902,45051,45259,45884
" ""01021""","Chilton, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27545,28758,29360,29550,30128,31667,32081,33198,34447,36185,38532,42012,42231
" ""01023""","Choctaw, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,386152,398580,427859,450924,459109,462117,461267,472735,488690,490747,511455,543231,577667
" ""01023""","Choctaw, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,13853,13637,13616,13473,13416,13352,13183,13077,12984,12768,12619,12549,12439
" ""01023""","Choctaw, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27875,29228,31423,33469,34221,34610,34990,36150,37638,38436,40531,43289,46440
" ""01025""","Clarke, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,735677,745522,749070,779789,797555,822451,830443,830749,847451,879347,947607,1017276,1017200
" ""01025""","Clarke, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,25760,25552,25095,25036,24750,24560,24164,23878,23733,23393,22981,22715,22515
" ""01025""","Clarke, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,28559,29177,29849,31147,32224,33487,34367,34791,35708,37590,41234,44784,45179
" ""01027""","Clay, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,387366,363937,368071,375488,395625,415721,415599,425248,440623,456483,498363,550148,566161
" ""01027""","Clay, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,13924,13822,13672,13751,13897,13976,14062,14132,14184,14256,14211,14190,14198
" ""01027""","Clay, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27820,26330,26922,27306,28468,29745,29555,30091,31065,32020,35069,38770,39876
" ""01029""","Cleburne, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,420875,428031,450965,469354,492858,510814,505731,521514,535688,541507,571310,647993,678830
