Unnamed: 0,GeoName,GeoFIPS,Quantity index,Thousands of chained 2012 dollars,Thousands of dollars,County,State,State and County
32,"Aleutians E , AK"," ""02013""",161.56,196383,233494,Aleutians East,AK,AK Aleutians East
33,"Aleutians West , AK"," ""02016""",98.043,355398,444798,Aleutians West,AK,AK Aleutians West
57,"Anchorage Municipality, AK"," ""02020""",96.978,20410885,24832047,Anchorage,AK,AK Anchorage
197,"Bethel , AK"," ""02050""",96.266,604118,723486,Bethel,AK,AK Bethel
269,"Bristol Bay , AK"," ""02060""",110.151,121530,148048,Bristol Bay,AK,AK Bristol Bay
1288,"Hoonah-Angoon , AK*"," ""02105""",114.951102.837,8604735990,9700843861,Hoonah-Angoon,VA,VA Hoonah-Angoon
2230,"Petersburg , AK*"," ""02195""",96.452,181657,204797,Petersburg,VA,VA Petersburg
2333,"Prince of Wales-Hyder , AK*"," ""02198""",208.997,1000387,1256206,Prince of Wales-Hyder,VA,VA Prince of Wales-Hyder
2607,"Skagway Municipality, AK*"," ""02230""",76.262,67785,76420,Skagway Municipality,VA,VA Skagway Municipality
2863,"Valdez-Cordova , AK*"," ""02261""",0,1783407,2176808,Valdez-Cordova,VA,VA Valdez-Cordova
3088,"Wrangell , AK*"," ""02275""",103.027,80816,91110,Wrangell City and Borough,AK,AK Wrangell City and Borough
109,"Autauga, AL"," ""01001""",94.638,1502153,1862747,Autauga,AL,AL Autauga
118,"Baldwin, AL"," ""01003""",144.294,7830237,9891548,Baldwin,AL,AL Baldwin
129,"Barbour, AL"," ""01005""",99.393,709459,860027,Barbour,AL,AL Barbour
199,"Bibb, AL"," ""01007""",107.878,392249,511240,Bibb,AL,AL Bibb
219,"Blount, AL"," ""01009""",113.455,997835,1211710,Blount,AL,AL Blount
306,"Bullock, AL"," ""01011""",96.313,236820,289132,Bullock,AL,AL Bullock
318,"Butler, AL"," ""01013""",117.79,652486,809234,Butler,AL,AL Butler
343,"Calhoun, AL"," ""01015""",102.155,4245199,5108424,Calhoun,AL,AL Calhoun
438,"Chambers, AL"," ""01017""",114.111,844188,1003863,Chambers,AL,AL Chambers
465,"Cherokee, AL"," ""01019""",108.486,533432,647497,Cherokee,AL,AL Cherokee
487,"Chilton, AL"," ""01021""",120.088,1001475,1277386,Chilton,AL,AL Chilton
493,"Choctaw, AL"," ""01023""",90.834,501532,586394,Choctaw,AL,AL Choctaw
539,"Clarke, AL"," ""01025""",98.282,761922,998805,Clarke,AL,AL Clarke
545,"Clay, AL"," ""01027""",154.711,434129,509530,Clay,AL,AL Clay
569,"Cleburne, AL"," ""01029""",110.652,298888,356069,Cleburne,AL,AL Cleburne
594,"Coffee, AL"," ""01031""",117.489,1403123,1681588,Coffee,AL,AL Coffee
599,"Colbert, AL"," ""01033""",102.411,2444622,2914003,Colbert,AL,AL Colbert
628,"Conecuh, AL"," ""01035""",91.482,457634,456406,Conecuh,AL,AL Conecuh
640,"Coosa, AL"," ""01037""",106.827,175564,215536,Coosa,AL,AL Coosa
651,"Covington, AL"," ""01039""",104.249,1151784,1427931,Covington,AL,AL Covington
673,"Crenshaw, AL"," ""01041""",106.599,441247,486101,Crenshaw,AL,AL Crenshaw
686,"Cullman, AL"," ""01043""",125.825,2912833,3508691,Cullman,AL,AL Cullman
712,"Dale, AL"," ""01045""",95.131,2632339,3147114,Dale,AL,AL Dale
714,"Dallas, AL"," ""01047""",87.523,1061713,1285684,Dallas,AL,AL Dallas
743,"DeKalb, AL"," ""01049""",124.022,1973395,2292052,DeKalb,AL,AL DeKalb
876,"Elmore, AL"," ""01051""",104.295,1787108,2213256,Elmore,AL,AL Elmore
887,"Escambia, AL"," ""01053""",97.629,1176856,1370932,Escambia,AL,AL Escambia
896,"Etowah, AL"," ""01055""",95.532,2596715,3175372,Etowah,AL,AL Etowah
